Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,User Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Converge,Philippines,N/A,"Feb 3, 2026",71170,26465,all,N/A,median,38119,5,12.0798,3.3099,160772,151833,160.77,151.83
Globe,Philippines,N/A,"Feb 3, 2026",39928,15250,all,N/A,median,22070,6,19.5166,3.675,123690,109250,123.69,109.25
PLDT Home Fiber,Philippines,N/A,"Feb 3, 2026",96420,34970,all,N/A,median,50215,6,19.7529,4.775,136534,132239,136.53,132.24
PLDT,Philippines,N/A,"Feb 3, 2026",49032,17932,all,N/A,median,25178,7,27.0312,6.15,91685,93774,91.69,93.77
Converge,Philippines,N/A,"Feb 4, 2026",68122,25501,all,N/A,median,37982,5,11.8778,3.2206,160505,146856,160.51,146.86
Globe,Philippines,N/A,"Feb 4, 2026",40737,15297,all,N/A,median,21578,6,20.0763,3.65,124430,111858,124.43,111.86
PLDT Home Fiber,Philippines,N/A,"Feb 4, 2026",94261,32200,all,N/A,median,46669,6,20.0716,5.4083,118532,113698,118.53,113.70
PLDT,Philippines,N/A,"Feb 4, 2026",51303,18275,all,N/A,median,25361,8,27.7667,6.5579,89737,93323,89.74,93.32
Converge,Philippines,N/A,"Feb 5, 2026",74278,26691,all,N/A,median,40071,5,12.1282,3.3244,155803,155372,155.80,155.37
Globe,Philippines,N/A,"Feb 5, 2026",39624,14979,all,N/A,median,21610,6,19.2944,3.6655,124689,111110,124.69,111.11
PLDT Home Fiber,Philippines,N/A,"Feb 5, 2026",86495,30650,all,N/A,median,42750,6,19.9998,5.0083,126583,120237,126.58,120.24
PLDT,Philippines,N/A,"Feb 5, 2026",49830,17535,all,N/A,median,25375,8,27.8023,6.2781,89780,93436,89.78,93.44
Converge,Philippines,N/A,"Feb 6, 2026",70097,25263,all,N/A,median,39396,5,12.1333,3.2816,159591,151978,159.59,151.98
Globe,Philippines,N/A,"Feb 6, 2026",39518,15170,all,N/A,median,21186,6,21.7843,3.625,123890,109015,123.89,109.02
PLDT Home Fiber,Philippines,N/A,"Feb 6, 2026",84572,30435,all,N/A,median,44229,6,19.577,5,123863,113918,123.86,113.92
PLDT,Philippines,N/A,"Feb 6, 2026",48069,16797,all,N/A,median,24361,8,28.1805,6.5604,88856,92469,88.86,92.47
Converge,Philippines,N/A,"Feb 7, 2026",61358,19695,all,N/A,median,32450,5,11.0329,2.9126,149741,148542,149.74,148.54
Globe,Philippines,N/A,"Feb 7, 2026",35371,12091,all,N/A,median,18631,6,20.0481,3.3625,122597,108975,122.60,108.98
PLDT Home Fiber,Philippines,N/A,"Feb 7, 2026",78691,24826,all,N/A,median,39130,6,19.4222,4.9308,102154,102855,102.15,102.86
PLDT,Philippines,N/A,"Feb 7, 2026",38453,12332,all,N/A,median,19840,7,26.3004,5.6989,84970,90216,84.97,90.22
Converge,Philippines,N/A,"Feb 8, 2026",53119,17526,all,N/A,median,29776,5,11.137,2.9887,149238,145860,149.24,145.86
Globe,Philippines,N/A,"Feb 8, 2026",31744,11195,all,N/A,median,17012,6,17.2392,3.1667,123356,108956,123.36,108.96
PLDT Home Fiber,Philippines,N/A,"Feb 8, 2026",71135,23122,all,N/A,median,35121,6,19.0121,4.5966,106791,104432,106.79,104.43
PLDT,Philippines,N/A,"Feb 8, 2026",32868,10736,all,N/A,median,16153,8,26.5889,5.5248,83109,88354,83.11,88.35
Converge,Philippines,N/A,"Feb 9, 2026",70316,26494,all,N/A,median,39916,5,12.7979,3.6125,162818,159611,162.82,159.61
Globe,Philippines,N/A,"Feb 9, 2026",40954,15577,all,N/A,median,22438,6,19.5347,3.875,124680,109526,124.68,109.53
PLDT Home Fiber,Philippines,N/A,"Feb 9, 2026",85471,30995,all,N/A,median,45377,6,20.4444,5.6219,129177,117013,129.18,117.01
PLDT,Philippines,N/A,"Feb 9, 2026",49964,17920,all,N/A,median,25407,8,27.3479,6.3016,90379,93268,90.38,93.27
Converge,Philippines,N/A,"Feb 10, 2026",78248,29628,all,N/A,median,43653,5,12.1696,3.1651,171754,159097,171.75,159.10
Globe,Philippines,N/A,"Feb 10, 2026",43846,17216,all,N/A,median,24693,6,17.8333,3.825,133485,114409,133.49,114.41
PLDT Home Fiber,Philippines,N/A,"Feb 10, 2026",111643,42184,all,N/A,median,63114,6,18.5023,4.7525,155358,141761,155.36,141.76
PLDT,Philippines,N/A,"Feb 10, 2026",62656,22899,all,N/A,median,33319,7,25.9961,6.0125,93557,94363,93.56,94.36
Converge,Philippines,N/A,"Feb 11, 2026",68438,25329,all,N/A,median,38847,5,12.8901,3.4922,156780,149200,156.78,149.20
Globe,Philippines,N/A,"Feb 11, 2026",42980,16575,all,N/A,median,23808,6,17.5833,3.3575,130186,113124,130.19,113.12
PLDT Home Fiber,Philippines,N/A,"Feb 11, 2026",95744,34321,all,N/A,median,50784,6,19.4011,5.025,135232,126715,135.23,126.72
PLDT,Philippines,N/A,"Feb 11, 2026",54910,19811,all,N/A,median,28620,8,26.9648,5.9375,92211,93840,92.21,93.84
Converge,Philippines,N/A,"Feb 12, 2026",71299,25548,all,N/A,median,38873,5,13.4833,3.6,157830,149482,157.83,149.48
Globe,Philippines,N/A,"Feb 12, 2026",40843,15571,all,N/A,median,22768,6,23.0833,3.9875,125651,110853,125.65,110.85
PLDT Home Fiber,Philippines,N/A,"Feb 12, 2026",83371,28587,all,N/A,median,42199,6,21.4848,5.85,114848,111085,114.85,111.09
PLDT,Philippines,N/A,"Feb 12, 2026",49422,17301,all,N/A,median,24469,8,28.8245,7.009,89589,92894,89.59,92.89
Converge,Philippines,N/A,"Feb 13, 2026",63896,23142,all,N/A,median,35345,5,12.4542,3.3667,167517,161291,167.52,161.29
Globe,Philippines,N/A,"Feb 13, 2026",35604,13366,all,N/A,median,19100,6,19.05,3.6625,125525,111241,125.53,111.24
PLDT Home Fiber,Philippines,N/A,"Feb 13, 2026",74135,26180,all,N/A,median,37705,6,19.9111,5.221,116793,109728,116.79,109.73
PLDT,Philippines,N/A,"Feb 13, 2026",44787,15574,all,N/A,median,22895,8,27.1221,6.2385,89415,92307,89.42,92.31
Converge,Philippines,N/A,"Feb 14, 2026",49497,16415,all,N/A,median,27657,5,11.9235,3.1101,152255,143952,152.26,143.95
Globe,Philippines,N/A,"Feb 14, 2026",30929,10643,all,N/A,median,16241,6,17.4583,3.25,123059,109319,123.06,109.32
